*a	?a:
*glg	glk
*glinks	'klINks
*g'raaus	'gra:|?aUs
*g'radau	'gra:t|?aU
*g'radea	'gra:|d@|a
*g'radeau	'gra:|d@|?aU
*g'rade	'gra:|d@
*grade	'gra:|d@
*grad	'gra:t
*g'ra	'gra:
*gra	'gra:
*gr	gr
*gu	'gU
*ha	'ha:
*hal	'hal
*ham	'ham
*hatta	'ha|ta
*he	'he:
*h	'ha:
*hi	'hi:
*hingeh	'hIn|ge:
*hin	'hIn
*hinter'm	'hIn|t6m
*hint	'hInt
*hn	hn
*ho	'ho:
*Hu	'hu:
*Hun	'hu:n
*i	'?i:
*ikr	'?I|kr
*inks	'?Inks
*isch	'?IS
*is	'?Is
*issa	'?I|s6
*isses	'?I|s@s
*it	'?It
*iz	'?Its
*je	'je:
*jesch	'jES
*jesse	'jE|s@
*jetzad	'jEt|sat
*jetza	'jEt|sa
*j	j
*jo	'jo:
*jz	jIts
*kannsch	'kanS
*kannscht	'kanSt
*kanns	'kans
*kei	'kaI
*ke	'kE
*key	'kaI
*kn	kn
*koine	'kOY|n@
*ko	'ko:
*lach	'lax
*la	'la:
*lauf	'laUf
*lau	'laU
*lauslaufen	'laUs|laU|f@n
*le	'lE
*li	'li:
*ling	'lIN
*link	'lINk
*lin	'lIn
*l	l
*lo	'lo:
*machs	'maks
*ma	'ma:
*ma's	'mas
*mas	'mas
*maxt	'makst
*mha	m|'ha
*mh	m
*mi	'mi:
*m	m
*nahi	'na:|hI
*na	na
*nau	'naU
*nei	'naI
*nem	'nEm
*ne	nE
*net	'nEt
*niet	'ni:t
*ni	'ni:
*nischi	'nI|SI
*nit	'nIt
*nja	'nja:
*n	n
*nochn	'nO|xn
*nochwrach	'nOx|vrax
*noin	'nOYn
*nojetz	no|'jEts
*noma	'nO|ma
*non	'nOn
*no	no:
*nr"ud	'nry:t
*"o	'?2:
*och	'?Ox
*Oibo	'?OY|bo:
*o	'?o:
*op	'?o:p
*opp	'?Op
*pasch	'paS
*paschtscho	'paSt|So
*passts	'pasts
*paules	'paU|l@s
*pepp	'pEp
*pf"orti	'pf96|tI
*pla	'pla:
*pl	pl
*Raibo	'raI|bo:
*ra	'ra:
*rech	'rEC
*recht	'rECt
*reis	'raIs
*re	're:
*richtichen	'rIC|tI|C@n
*Richt	'rICt
*rinks	'rINks
*rischting	'rIS|tIN
*r	r
*r"uckzu	'rYk|tsu:
*r"u	'ry:
*san	'zan
*sa	'za:
*Schan	'San
*schd	St
*schea	SEa
*schgsch	SkS
*schiebnt	'Si:|bnt
*schi	'Si:
*schm	Sm
*sch"or	'S2:6
*sch"o	'S2:
*scho	'So:
*sch	S
*scht	St
*sed	'ze:t
*sein	'zaIn
*se	'ze:
*simma	'zI|ma
*sim	'zIm
*sis	'zIs
*sit	'zIt
*si	'zi:
*son	'zOn
*so	'zo:
*stahl	'Sta:l
*sten	'StEn
*ste	'StE
*stopp	'StOp
*sto	'Sto:
*Streck	'StrEk
*st	St
*subba	'zU|ba
*su	'zu:
*s	z
*taz	'tats
*teh	'te:
*Te	'te:
*to	'to:
*tsch	tS
*tsf	tsf
*ts	ts
*t	'te:
*tzn	tsn
*tz	tst
*"ubers	'?y:|b6s
*umdre	'?Um|dre:
*um	'?Um
*un	'?Un
*us	'?Us
*ut	'?Ut
*u	'?u:
*vonai	'fO|naI
*von	'fOn
*vors	'fo:6s
*waas	'va:s
*w"ars	'vE:6s
*w"arts	'vE6ts
*w"ar'	'vE:6
*wa	va
*weida	'vaI|da
*weit	'vaIt
*wei	'vaI
*well	'vEl
*weng	'vEN
*wennds	'vEnts
*wenns	'vEns
*we	vE
*We	've:
*wi	'vi:
*w	v
*zamgebaut	'tsam|g@|baUt
*zam	tsam
*ze	tse:
*Zeuch	'tsOYtx
*Zeugs	'tsOYks
*znoch	'tsnOx
*zsch	tS
*z	ts
*zt	tst
ab	'?ap
abbiegen	'?ap|bi:|g@n
aber	'?a:|b6
abk"urzen	'?ap|kY6|tsn
abnehmen	'?ap|ne:|m@n
ach	'?ax
ah	'?a:
aha	?a|'ha
"ah	'?E:
ai	'?aI
aiai	?aI|'?aI
aiaiai	?aI|?a|'?aI
Aib	'?aIp
Aibo	'?aI|bo:
Aibolein	'?aI|bo:|laIn
Akku	'?a|kU
allen	'?a|l@n
als	'?als
also	'?al|zo:
am	am
an	an
andere	'?an|d@|r@
anderen	'?an|d@|r@n
anderes	'?an|d@|r@s
ander'n	'?an|d6n
anders	'?an|d6s
andersrum	'?an|d6s|rUm
and're	'?an|dr@
and'ren	'?an|dr@n
Anfang	'?an|faN
anfangen	'?an|faN|@n
ang'stellt	'?an|g@|StElt
anhalten	'?an|hal|t@n
ans	'?ans
anschauen	'?an|SaU|@n
anscheinend	?an|'SaI|n@nt
anstrengend	'?an|StrE|N@nt
around~eng	?a|'raUnt
auch	'?aUx
auf	'?aUf
Aufgabe	'?aUf|ga:|b@
aufh"oren	'?aUf|h2:|r@n
aufkl"aren	'?aUf|klE:|r@n
aufstehen	'?aUf|Ste:|@n
aufstehst	'?aUf|Ste:st
Auftrag	'?aUf|tra:k
aufwachen	'?aUf|va|x@n
aufziehen	'?aUf|tsi:|@n
aus	aUs
au"ser	'?aU|s6
"au"sersten	'?OY|s6s|t@n
ausgef"uhrt	'?aUs|g@|fy:6t
au"s'n	'?aU|sn
ausruhen	'?aUs|ru:|@n
aussehen	'?aUs|ze:|@n
auss'n	'?aU|sn
austehen	'?aU|Ste:|@n
automatisch	?aU|to|'ma:|tIS
bald	'balt
beachten	b@|'?ax|t@n
bedeuten	b@|'dOY|t@n
beginnt	b@|'gInt
bei	'baI
beibringen	'baI|brI|N@n
beiden	'baI|d@n
beides	'baI|d@s
bei"sen	'baI|sn
bellen	'bE|l@n
beobachtet	b@|'?o:|bax|t@t
ber"uhren	b@|'ry:|r@n
beschei"sen	b@|'SaI|s@n
besser	'bE|s6
bestimmte	b@|'StIm|t@
bevor	b@|'fo:6
bieg	'bi:k
biegst	'bi:kst
bin	'bIn
bis	'bIs
bisher	'bIs|he:6
bisschen	'bIs|C@n
bist	'bIst
bitte	'bI|t@
blauen	'blaU|@n
Blechb"uchse	'blEC|bYk|s@
Blechkonserve	'blEC|kOn|zE6|v@
bleib	'blaIp
bleiben	'blaI|b@n
bleibst	'blaIpst
bl"od	'bl2:t
blo"s	'blo:s
bockig	'bO|kIC
Boden	'bo:|d@n
b"ose	'b2:|z@
b"oser	'b2:|z6
b"oses	'b2:|z@s
brauchen	'braU|xn
brauchst	'braUxst
braucht	'braUxt
brav	'bra:f
braver	'bra:|f6
Braver	'bra:|f6
braves	'bra:|f@s
bringt	'brINt
China	'ki:|na
$c	'tse:
dabei	da|'baI
da	'da:
daher	'da:|he:6
dahin	'da:|hIn
dahinten	da:|'hIn|t@n
dahinter	da:|'hIn|t6
dahint'n	da:|'hIn|tn
damit	da|'mIt
danke	'daN|k@
dann	'dan
darein	'da:raIn
darf	'da6f
darfst	'da6fst
dar"uber	da|'ry:|b6
das	'da:s
dass	'das
Daumen	'daU|m@n
davor	da|'fo:6
dazu	da|'tsu:
dein	'daIn
deine	'daI|n@
dem	'de:m
den	de:n
denn	'dEn
der	'de:6
des	'dEs
dich	'dIC
die	'di:
diese	'di:|z@
diesem	'di:|z@m
dieser	'di:|z6
dieses	'di:|z@s
diesmal	'di:s|ma:l
Ding	'dIN
dir	'di:6
doch	'dOx
doof	'do:f
dort	'dO6t
dorthin	'dO6t|hi:n
dran	'dran
drauf	'draUf
dreh	'dre:
drehen	'dre:|@n
drehst	'dre:st
dreht	'dre:t
Drehung	'dre:|UN
drei	'draI
drin	'drIn
dr"uben	'dry:|b@n
du	'du:
durch	'dU6C
du's	'du:s
eben	'?e:|b@n
echt	'?ECt
echten	'?EC|t@n
echter	'?EC|t6
Ecke	'?E|k@
Eck	'?Ek
Eddi	'E|dI
$e	'?e:
egal	?e:|'ga:l
eigentlich	'?aI|g@nt|lIC
ein	'?aIn
einbiegen	'?aIn|bi:|gn
eine	'?aI|n@
einen	'?aI|n@n
einer	'?aI|n6
eines	'?aI|n@s
einfach	'?aIn|fax
einfacher	'?aIn|fa|x6
eingestellt	'?aIn|g@|StElt
einmal	'?aIn|ma:l
eins	'?aIns
einsammeln	'?aIn|za|m@ln
elektronischer	?e:|lEk|'tro:|nI|S6
empfindlich	?Em|'pfInt|lIC
Ende	'?En|d@
endlich	'?Ent|lIC
entlang	?Ent|'laN
er	'?e:6
erfunden	'?E6|fUn|d@n
erinnern	?E6|'?In|6n
erledigt	?E6|'le:|dICt
er's	'?e:6s
erstmal	'?E6st|ma:l
es	'?e:s
essen	'?E|s@n
Essen	'?E|s@n
ess	'?Es
etwas	'?Et|vas
falsche	'fal|S@
falsches	'fal|S@s
falsch	'falS
fast	'fast
fauler	'faU|l6
faules	'faU|l@s
faul	'faUl
Fax'n	faksn
feiner	'faI|n6
fein	'faIn
Feld	'fElt
Fell	'fEl
fertig	'fE6|tIC
finde	'fIn|d@
flieg	'fli:k
fliegt	'fli:kt
folgen	'fOl|g@n
Frau	'fraU
fressen	'frE|s@n
Fressen	frE|s@n
fressi	'frE|sI
Fressnapf	'frEs|napf
Fress'n	'frE|sn
freuen	'frOY|@n
friss	'frIs
froh	'fro:
fr"uh	'fry:
f"uhl	'fy:l
f"uhren	'fy:|r@n
f"ur	'fy:6
Fussball	'fu:s|bal
Futter	'fU|t6
Futternapf	'fU|t6|napf
futtern	'fU|t6n
Futterschalen	'fU|t6|Sa:|l@n
ganze	'gan|ts@
ganzen	'gan|ts@n
ganz	'gants
gar	'ga:6
gebaut	g@|'baUt
gedacht	g@|'daxt
gefallen	g@|'fa|l@n
Gefallen	g@|'fa|l@n
gefilmt	g@|'fIlmt
gefressen	g@|'frE|sn
gegangen	g@|'ga|N@n
gehen	'ge:|@n
geh	'ge:
geh"ort	g@|'h2:6t
gehst	'ge:st
geht	'ge:t
geht's	'ge:ts
gell	'gEl
gemacht	g@|'maxt
gemein	g@|'maIn
gemischt	g@|'mISt
genauer	g@|'naU|6
genau	g@|'naU
gerad'aus	g@|'ra:t|?aUs
geradeaus	g@|'ra:|d@?|aUs
gerade	g@|'ra:|d@
gesagt	g@|'za:kt
geschafft	g@|Saft
geschlafen	g@|'Sla:|f@n
Geschmackssache	g@|'Smaks|za|x@
gesehen	g@|'ze:|@n
gestochen	g@|'StO|x@n
gewesen	g@|'ve:|z@n
gibst	'gIpst
gibt's	'gIpts
Gift	'gIft
giftige	'gIf|tI|g@
giftigen	'gIf|tI|g@n
giftiges	'gIf|tI|g@s
giftig	'gIf|tIC
Giftsch"uss'l	'gIft|SY|sl
glaub'	'glaUp
gleiche	'glaI|C@
gleich	'glaIC
g'macht	'gmaxt
Gott	'gOt
g'rad'aus	'gra:t|?aUs
grad'aus	'gra:t|?aUs
g'radeaus	'gra:|d@|?aUs
g'rade	'gra:|d@
grade	'gra:|d@
g'rad'	'gra:t
Grad	'gra:t
Gras	'gra:s
grauen	'graU|@n
gr"unes	'gry:|n@s
g'sagt	'gsakt
g'schafft	'gSaft
guck	'gUk
G"ute	'gy:|t@
guten	'gu:|t@n
guter	'gu:|t6
gutes	'gu:|t@s
gut	'gu:t
habe	'ha:|b@
haben	'ha:|b@n
hab'	'ha:p
habt	'ha:pt
ha	'ha
haha	ha|'ha:
h"a	'hE:
halbe	'hal|b@
hallo	'ha|lo:
Hallo	'ha|lo:
halt	'halt
H"ande	'hEn|d@
hast	'hast
hat	'hat
hats	'hats
h"atte	'hE|t@
h"att'	'hEt
Haustier	'haUs|ti:6
Hecke	'hE|k@
he	'he:
hei"st	'haIst
her	'he:6
Herrchen	'hE6|C@n
herrje	hE6|'je:
herum	hE|'rUm
hey	'haI
$h	'ha:
hierher	'hi:6|he:6
hier	'hi:6
hierhin	'hi:6|hIn
hierlang	'hi:6|laN
hihi	hi:|'hi:
Hilfe	'hIl|f@
Hindernisse	'hIn|d6|nI|s@
hingehen	'hIn|ge:|@n
hingesetzt	'hIn|g@|zEtst
hin	'hIn
hinlegen	'hIn|le:|g@n
hinsetzen	'hIn|zEt|s@n
hinsetz'n	'hIn|zEt|sn
hinsetzten	'hIn|zEts|t@n
hinsetzt	'hIn|zEtst
hinstellen	'hIn|StE@l@n
hinten	'hIn@t@n
hinteren	'hIn|t@|r@n
Hinteren	'hIn|t@|r@n
hinter	'hIn|t6
hintersten	'hIn|t6s|t@n
hint'n	'hIn@tn
hm	'hm
hoch	'ho:x
hochkommen	'ho:x|kO|m@n
hoi	'hOY
Hopf	'hOpf
hopp	'hOp
h"oren	'h2:6n
h"or	'h2:6
h"orst	'h2:6st
h"ort	'h2:6t
huch	'hu:x
H"undchen	'hYnt|C@n
Hunde	'hUn|d@
Hunderasse	'hUn|d@|ra|s@
hundertachtzig	hUn|d6t|'?ax|tsIC
Hund	'hUnt
Hunger	'hU|N6
hupps	'hUps
ich	'?IC
ihm	'?i:m
ihn	'?i:n
ihr	'?i:6
$i	'?i:
im	'?Im
immer	'?I|m6
in~eng	'In
in	'?In
ins	'?Ins
irgendeiner	'?I6|g@nt|?aI|n6
irgendetwas	'?I6|g@nt|?Et|vas
irgend	'I6|g@nt
irgendjemand	'?I6|g@nt|je:|mant
irgendwie	'?I6|g@nt|vi:
irgendwo	'?I6|g@nt|vo:
iss	'?Is
ist	'?Ist
ist's	'?Ists
ja	'ja:
jedem	'je:|d@m
jedes	'je:|d@s
jemand	'je:|mant
jetz	'jEts
jetzt	'jEtst
juhu	jU|'hu:
Kamerafeld	'ka|m@|ra|fElt
kann	'kan
kannst	'kanst
Karton	ka6|'to:n
K"astchen	'kEst|C@n
kauf	'kaUf
keine	'kaI|n@
keiner	'kaI|n6
kein	'kaIn
Kiste	'kIs|t@
kitschig	'kIt|SIC
$k	'ka:
klar	'kla:6
Klasse	'kla|s@
Kleiner	'klaI|n6
kleines	'klaI|n@s
komm	'kOm
kommst	'kOmst
kommt	'kOmt
Kopfh"orer	'kOpf|h2:|r6
Kreisel	'kraI|z@l
Kreis	'kraIs
Kreuzung	'krOY|tsUN
kriechen	'kri:|C@n
kriegst	'kri:kst
kunst	'kUnst
Kurve	'kU6|f@
kurven	'kU6|f@n
kurze	'kU6|ts@
kurz	'kU6ts
lange	'laN|@
l"anger	'lE|N6
lang	'laN
langsam	'laN|za:m
langt	'laNt
langweilig	'laN|vaI|lIC
lassen	'la|s@n
lass	'las
laufen	'laU|f@n
lauf	'laUf
l"aufst	'lOYfst
lauft	'laUft
l"auft	'lOYft
lauter	'laU|t6
laut	'laUt
lebst	'le:pst
leckeres	'lE|k@|r@s
leer	'le:6
Lehrerin	'le:|r@|rIn
leichter	'laIC|t6
leicht	'laICt
leiden	'laI|d@n
leise	'laI|z@
$l	'?El
lenken	'lEN|k@n
letzte	'lEts|t@
lieber	'li:|b6
liebes	'li:|b@s
lieb	'li:p
linke	'lIN|k@
linken	'lIN|k@n
links	'lINks
loslaufen	'lo:s|laU|f@n
los	'lo:s
Lust	'lUst
machen	'ma|x@n
mach	'max
machst	'maxst
macht	'maxt
made~eng	'mEIt
mal	'ma:l
Mal	'ma:l
malt	'malt
manchmal	'manC|ma:l
man	'man
Mannometer	ma|no|'me:|t6
Mario	'ma:r|I|o:
Maus	'maUs
mehr	'me:6
meine	'maI|n@
meinetwegen	'maI|n@t|ve:|g@n
mein	'maIn
meinte	'maIn|t@
mh	m
mhm	m|'hm
mich	'mIC
mir	'mi:6
Mist	'mIst
mitgefilmt	'mIt|g@|fIlmt
mit	'mIt
m"ochte	'm9C|t@
m"ochtet	'm9C|t@t
m"ocht'	'm9Ct
morgen	'mO6|g@n
m"ude	'my:|d@
Musikunterricht	mU|'zi:k|?Un|t6|rICt
m"ussen	'mY|s@n
muss	'mUs
m"usste	'mYs|t@
musst	'mUst
must	'mUst
nachher	'na:x|he:6
nach	'na:x
n"achsten	'ne:C|st@n
Nacht	'naxt
n"aher	'nE:|6
nah	'na:
naja	na|'ja:
Namen	'na:|m@n
na	na
N"apfe	'nEp|f@
Napf	'napf
nee	'ne:
nehmen	'ne:|m@n
nein	'naIn
$n	'?En
ne	ne:
nett	'nEt
nicht	'nICt
nichts	'nICts
Nickerchen	'nI|k6|C@n
nie	'ni:
nimm	'nIm
nix	'nIks
nja	'nja:
'n	n
nochmal	'nOx|ma:l
noch	'nOx
no~eng	'nOU
n"o	'n2:
no	nO
normal	nO6|m'a:l
nun	'nu:n
nur	'nu:6
oben	'?o:|b@n
obwohl	?Op|'vo:l
och	'?o:x
oder	'?o:|d6
oha	'o:|ha
oh~eng	'OU
oh	'?o:
oje	?o|'je:
okay	?o|'ke:
Olivia	?o|'li:|vI|a
$O	'?o:
o_o	'?o:
Orangensaft	?o|ra:|S@n|zaft
paar	'pa:6
Packung	'pa|kUN
Parcours	pa6|'ku:6
passiert	pa|'si:6t
passt	'past
Pause	'paU|z@
Pf"otchen	'pf2:t|C@n
Pfote	'pfo:|t@
pfui	'pfUI
platz	'plats
Platz	'plats
please~eng	'pli:z
Po	'po:
$P	'pe:
prima	'pri:|ma
Probleme	pro|'ble:|m@
p"u	'py:
raus	'raUs
$r	'?E6
rechten	'rEC|t@n
rechte	'rEC|t@
recht	'rECt
rechts	'rECts
reden	're:|d@n
red'	're:t
reicht	'raICt
reinlaufen	'raIn|laU|fn
rein	'raIn
richtigen	'rIC|tI|g@n
richtige	'rIC|tI|g@
richtig	'rIC|tIC
Richtung	'rIC|tUN
r"uber	'ry:|b6
R"uckw"artsgang	'rYk|vE6ts|gaN
r"uckw"arts	'rYk|vE6ts
Ruhepause	'ru:|@|paU|z@
ruhig	'ru:|IC
Ruh'	'ru:
rumdrehen	'rUm|dre:|@n
rumlaufen	'rUm|laU|fn
rum	'rUm
runtergerutscht	'rUn|t6|g@|rUtSt
runter	'rUn|t6
rutsch	'rUtS
rutscht	'rUtSt
Sachen	'za|xn
sagen	'za|g@n
sagt	'za:kt
sag	'za:k
s"ahe	'zE:|@
s"ah'	'zE:
schade	'Sa:|d@
schaffst	'Safst
Sch"alchen	'SE:|C@n
Schappi	'Sa|pi:
sch"arfer	'SE6|f6
scharf	'Sa6f
schauen	'SaU|@n
schau	'SaU
schaut	'SaUt
scheint	'SaInt
Schild	'SIlt
schlafen	'Sla:|f@n
Schlafm"utze	'Sla:f|mYt|s@
schlaf	'Sla:f
schl"afst	'SlE:fst
schlapp	'Slap
Schluss	'SlUs
schmeckt	'SmEkt
schneller	'SnE|l6
schnell	'SnEl
Sch"ones	'S2:|n@s
sch"on	'S2:n
schon	'So:n
schr"ager	'SrE:|g6
schr"ag	'SrE:k
Schritte	'Sr|It@
Schritt	'SrIt
schubst	'SUpst
Sch"ussel	'SY|s@l
schwerer	'Sve:|r6
schwerh"orig	'Sve:6|h2:|rIC
schwerste	'Sve:6|st@
schwer	'Sve:6
schwierig	'Svi:|rIC
sehen	'ze:|@n
sehr	'ze:6
seid	'zaIt
seinem	'zaI|n@m
sein	'zaIn
Seite	'zaI|t@
seitlich	'zaIt|lIC
sei	'zaI
selber	'zEl|b6
servus	'zE6|vUs
$s	'?Es
$S	'?Es
setzen	'zEt|s@n
setzt	'zEtst
setz	'zEts
sich	'zIC
siehst	'zi:st
sieht	'zi:t
sir~eng	's2:6
sitzen	'zIt|s@n
sitzt	'zItst
sitz	'zIts
Sitz	'zIts
sofort	zo:|'fO6t
solche	'zOl|C@
sollst	'zOlst
sollte	'zOl|t@
soll	'zOl
sondern	'zOn|d6n
sonst	'zOnst
Sony	'zo:|ni:
so	'zo:
sozusagen	'zo:|tsu:|za:|g@n
sp"ater	'SpE:|t6
spielen	'Spi:|l@n
sprechen	'SprE|C@n
spring'n	'SprIN|n
's	s
stand~eng	'StEnt
Start	'Sta6t
stehenbleiben	'Ste:|@n|blaI|b@n
stehen	'Ste:|@n
steh	'Ste:
stehst	'Ste:st
stellen	'StE|l@n
stell	'StEl
stellst	'StElst
stolpern	'StOl|p6n
stoppen	'StO|p@n
stopping~eng	'StO|pIN
stopp	'StOp
Stopp	'StOp
stoppst	'StOpst
Strassen	'Stra:|s@n
Strasse	'Stra:|s@
strecken	'StrE|k@n
Strecke	'StrE|k@
streck	'StrEk
streckt	'StrEkt
streicheln	'StraI|C@ln
stromverbrauchend	'Stro:m|fE6|braU|x@nt
St"uckchen	'StYk|C@n
st"uck	'StYk
St"uck	'StYk
super	'zu:|p6
S"u"ser	'zy:|s6
s"u"s	'zy:s
Tafel	'ta:|f@l
tanzen	'tan|ts@n
tanze	'tan|ts@
tanz	'tants
Tanz	'tants
tanzt	'tantst
Tarantel	ta|'ran|t@l
Teppich	'tEp|IC
Tier	'ti:6
toll	'tOl
T"opfchen	't9pf|C@n
Topf	'tOpf
tragen	'tra:|g@n
$t	'te:
$T	'te:
turn~eng	't96n
tu	'tu:
"uberhaupt	y:|b6|'haUpt
"ubertrampeln	?y:|b6|'tram|p@ln
"uber	'y:|b6
ueberhaupt	?y:|b6|'haUpt
ui	'?UI
umdrehen	'?Um|dre:|@n
umdrehn	'?Um|dre:n
umrahmen	?Um|'ra:|m@n
umso	'?Um|zo:
um	'?Um
und	'?Unt
Ungiftigen	'?Un|gIf|tI|g@n
Universit"at	?U|nI|vE6|zI|'tE:t
uns	'?Uns
up~eng	'?ap
ups	'?Ups
verbessert	fE6|'bE|s6t
vergeht	fE6|'ge:t
vergiftet	fE6|'gIf|t@t
verkehrt	fE6|'ke:6t
verpasse	fE6|'pa|s@
versteck	fE6|'StEk
versteht	f6|'Ste:t
versuchen	fE6|'zu:|x@n
verwechselt	fE6|'vEk|s@lt
Vieh	'fi:
viel	'fi:l
vier	'fi:6
viertel	'fI6|t@l
Viertel	'fI6|t@l
vom	'fOm
von	'fOn
vordere	'fO6|d@|r@
Vorderen	'fO6|d@|r@n
vor	'fo:6
vorgehen	'fo:6|ge:|@n
vorlaufen	'fo:6|laU|fn
vorletzte	'fo:6|lEt|st@
vorne	'fO6|n@
vorn'	'fO6n
vorn	'fO6n
vorsicht	'fo:6|zICt
vorstellen	'fo:6|StE|l@n
vorw"arts	'fO6|vE6ts
wahrscheinlich	va:r|'SaIn|lIC
w"are	'vE:|r@
w"ar's	'vE:6s
warten	'va6|t@n
warte	'va6|t@
warum	va:|'rUm
war	'va:6
w"ar'	've:6
was	'va:s
Was	'va:s
wechseln	'vEk|s@ln
Wegen	've:|g@n
weghauen	'vEk|haU|@n
wegschieben	'vEk|Si:|bn
wegschubsen	'vEk|SUp|s@n
weg	'vEk
Weg	've:k
weil	'vaIl
wei"st	'vaIst
wei"s	'vaIs
weiterdrehen	'vaI|t6|dre:|@n
weitergehen	'vaI|t6|ge:|@n
weiterlaufen	'vaI|t6|laU|f@n
weiterlaufe	'vaI|t6|laU|f@
weiter	'vaI|t6
weit	'vaIt
welchen	'vEl|C@n
welche	'vEl|C@
wenden	'vEn|d@n
wende	'vEn|d@
weniger	've:|nI|g6
wenig	've:|nIC
wenns	'vEns
wenn	'vEn
werden	'vE6|d@n
werd'	've:6t
wieder	'vi:|d6
Wiese	'vi:|z@
wie	'vi:
willst	'vIlst
will	'vIl
wird	'vI6t
wir	'vi:6
wissen	'vI|s@n
witzig	'vIt|sIC
wohin	'vo:|hIn
wohl	'vo:l
wollte	'vOl|t@
wollt	'vOlt
wo	'vo:
w"unsch	'vYnS
w"urd'	'vYrt
Zeilhofer	'tsaIl|ho:|f6
Zeit	'tsaIt
Ziels	'tsi:ls
Ziel	'tsi:l
ziemlich	'tsi:m|lIC
zuerst	tsu:|'?E6st
zum	'tsUm
zurecht	tsu:|'rECt
zur	'tsu:6
zur"uckgehen	tsu:|'rYk|ge:|@n
zur"uck	tsu:|'rYk
zu	'tsu:
zu"uck	tsu:|'rUEk
zuverl"assig	'tsu:|fE6|lE|sIC
